"Year","Cum_Int"
1985,6.1836
1989,49.8211
1995,75.2
1996,77.823
1997,31.6451
1998,16.0082
1999,92.3617
2000,26.2528
2002,16.626
2003,149.9232
2004,25.0378
2005,13.3857
2007,43.9613
2008,170.7191
2010,96.5569
2011,189.0413
2012,126.7068
2013,405.0192
2014,106.3196
2015,5.8216
2017,318.3904
2018,236.2859
2019,217.4319
2020,297.6636
2021,59.0911
2022,239.1294
2023,70.7215
2024,289.1349
2025,445.3983
2026,450.973
2027,329.8073
2028,784.0818
2029,781.9395
2030,707.143
2031,361.2724
2032,400.2759
2033,495.869
2034,418.2483
2035,607.0692
2036,786.351
2037,443.0463
2038,604.5353
2039,652.887
2040,543.2817
2041,534.1365
2042,484.6705
2043,527.6966
2044,580.3563
2045,640.9811
2046,750.1046
2047,590.5044
2048,740.418
2049,758.4399
2050,771.6006
2051,590.0485
2052,1061.6162
2053,1237.9705
2054,1237.9705
2055,1237.9705
2056,1241.3622
2057,1237.9705
2058,1237.9705
2059,1237.9705
2060,1241.3622
2061,1237.9705
2062,1237.9705
2063,1237.9705
2064,1241.3622
2065,1237.9705
2066,1237.9705
2067,1237.9705
2068,1241.3622
2069,1237.9705
2070,1237.9705
2071,1237.9705
2072,1241.3622
2073,1237.9705
2074,1237.9705
2075,1237.9705
2076,1241.3622
2077,1237.9705
2078,1237.9705
2079,1237.9705
2080,1241.3622
2081,1237.9705
2082,1237.9705
2083,1237.9705
2084,1241.3622
2085,1237.9705
2086,1237.9705
2087,1237.9705
2088,1241.3622
2089,1237.9705
2090,1237.9705
2091,1237.9705
2092,1241.3622
2093,1237.9705
2094,1237.9705
2095,1237.9705
2096,1241.3622
2097,1237.9705
2098,1237.9705
2099,1237.9705
2100,1237.9705
