"Year","Cum_Int"
1986,11.0808
1989,202.862
1990,341.5559
1991,209.9622
1992,130.7255
1993,21.7822
1994,22.7499
1995,82.358
1998,40.464
2002,11.5787
2003,57.4341
2004,207.682
2005,17.252
2009,149.8242
2010,28.8558
2012,54.981
2013,91.6421
2014,324.9656
2015,135.9318
2016,81.6126
2017,221.1412
2018,99.283
2019,246.8515
2020,302.5786
2021,213.6777
2022,399.6568
2023,495.6022
2024,587.0764
2025,206.8505
2026,209.6921
2027,197.0125
2028,160.0488
2029,546.6957
2030,607.7124
2031,161.0423
2032,280.0569
2033,382.1108
2034,431.9139
2035,393.4041
2036,649.7299
2037,252.0071
2038,407.8562
2039,515.5822
2040,509.015
2041,411.2435
2042,581.4985
2043,405.2935
2044,484.0635
2045,775.4769
2046,959.0375
2047,792.9097
2048,739.4182
2049,882.613
2050,1021.27
2051,1002.0228
2052,713.3837
2053,180.6791
2054,230.0066
2055,621.6792
2056,17.3943
2057,469.222
2058,1020.102
2059,1020.102
2060,1040.5372
2061,758.1678
2062,1012.145
2063,1012.145
2064,821.0378
2065,988.493
2066,770.3698
2067,955.935
2068,958.554
2069,955.935
2070,802.497
2071,863.1591
2072,741.6923
2073,861.0251
2074,1097.8105
2075,1097.8105
2076,1100.8182
2077,1021.6469
2078,953.7024
2079,1088.576
2080,1091.5584
2081,847.8269
2082,1169.1788
2083,1209.902
2084,1213.2168
2085,1209.902
2086,1209.902
2087,1209.902
2088,1213.2168
2089,1209.902
2090,1099.4569
2091,1216.9465
2092,1220.2806
2093,1216.9465
2094,1216.9465
2095,1216.9465
2096,1220.2806
2097,1231.8534
2098,1325.68
2099,1325.68
2100,1325.68
