"NombreCientifico","Ano","PesoVivo","Valor"
"Caulolatilus princeps",2000,591286.3,2991616
"Caulolatilus princeps",2001,496957.7,2388360
"Caulolatilus princeps",2002,543612.1,2712994
"Caulolatilus princeps",2003,1080081.2,4802391
"Caulolatilus princeps",2004,804331.6,3764596
"Caulolatilus princeps",2005,731957.55,6324221
"Caulolatilus princeps",2006,747978.3,3786119
"Caulolatilus princeps",2007,613503.85,3488114.6
"Caulolatilus princeps",2008,596838.5,3593839
"Caulolatilus princeps",2009,594666.8,3997367
"Caulolatilus princeps",2010,565690.8,4264880
"Caulolatilus princeps",2011,1041853.55,7562004
"Caulolatilus princeps",2012,1089820.2,9615316
"Caulolatilus princeps",2013,1197845.75,13577085
"Caulolatilus princeps",2014,1124584.55,13869651
"Caulolatilus princeps",2015,991713.4,12193998
"Flatfish",2000,817916.65,11295039
"Flatfish",2001,629149.65,8961836
"Flatfish",2002,494829.9,5853833
"Flatfish",2003,594760.1,7235873
"Flatfish",2004,465501.55,6304926
"Flatfish",2005,360006.95,4866875
"Flatfish",2006,349243.4,5389274.5
"Flatfish",2007,584805.89,9631142.5
"Flatfish",2008,693464.07,17249735.49
"Flatfish",2009,642279.956,12957146.6
"Flatfish",2010,651961.095,13184251.9
"Flatfish",2011,950746.25,18536967
"Flatfish",2012,1072087.95,20231016
"Flatfish",2013,948251.6,19594175
"Flatfish",2014,734634.5,16402808.1
"Flatfish",2015,676686.67,14638422.5
"Haliotis spp",2000,534035.9,64516476
"Haliotis spp",2001,486627,48701362.46
"Haliotis spp",2002,515089.2,44296769
"Haliotis spp",2003,604648.18,59824204
"Haliotis spp",2004,643693.82,82360348.1
"Haliotis spp",2005,655821.64,72528261
"Haliotis spp",2006,690148.26,79655897.16
"Haliotis spp",2007,704621.44,82716805.54
"Haliotis spp",2008,743503.31,97093966.5
"Haliotis spp",2009,673234.91,83147753.5
"Haliotis spp",2010,556539.22,78650944.7
"Haliotis spp",2011,463320.75,72076120
"Haliotis spp",2012,514635.02,94926547
"Haliotis spp",2013,455073.7,81956828
"Haliotis spp",2014,364330.8632,71445853
"Haliotis spp",2015,339930.012,65892752.65
"Panulirus interruptus",2000,1751972,84275407
"Panulirus interruptus",2001,1457117,79311590
"Panulirus interruptus",2002,1552998,79416436
"Panulirus interruptus",2003,1785069,107822806
"Panulirus interruptus",2004,1419511,107101859
"Panulirus interruptus",2005,1503520.9,116541880
"Panulirus interruptus",2006,1663011.02,135268375.414
"Panulirus interruptus",2007,1349504.742,126105841.1
"Panulirus interruptus",2008,1776145,197319945
"Panulirus interruptus",2009,1635131,200489051
"Panulirus interruptus",2010,1525893.32,201273593
"Panulirus interruptus",2011,2247161.54,337362079
"Panulirus interruptus",2012,2078828,293695850
"Panulirus interruptus",2013,1818415.18,300952892
"Panulirus interruptus",2014,1917912.5007,332566585.315
"Panulirus interruptus",2015,1532772.41,294811276.905
"Paralabrax maculatofasciatus",2014,15,75
"Paralabrax nebulifer",2000,2419699.3,7118820
"Paralabrax nebulifer",2001,1462172.9,4853675
"Paralabrax nebulifer",2002,2198162.7,7325822
"Paralabrax nebulifer",2003,2675436.6,8286607
"Paralabrax nebulifer",2004,2978722,9541864
"Paralabrax nebulifer",2005,2190376.5,7971961
"Paralabrax nebulifer",2006,2077753.3,8061117
"Paralabrax nebulifer",2007,3034937.8,12012955.7
"Paralabrax nebulifer",2008,2893010.1,11534596
"Paralabrax nebulifer",2009,3525383.3,14390145
"Paralabrax nebulifer",2010,3261364.3,15644805
"Paralabrax nebulifer",2011,3905260.4,20250086
"Paralabrax nebulifer",2012,4442723.2,22722445
"Paralabrax nebulifer",2013,3680019.6,19888822
"Paralabrax nebulifer",2014,3275754.35,16616439.5
"Paralabrax nebulifer",2015,2365291,14851663.5
"Parastichopus parvimensis",2000,425548,8823617
"Parastichopus parvimensis",2001,441947,9140855
"Parastichopus parvimensis",2002,290459,2393367
"Parastichopus parvimensis",2003,200822,1355783
"Parastichopus parvimensis",2004,383257,3754942
"Parastichopus parvimensis",2005,414732,6359284
"Parastichopus parvimensis",2006,457214.2,6673256
"Parastichopus parvimensis",2007,387515.7,6653135.56
"Parastichopus parvimensis",2008,366502,8674873
"Parastichopus parvimensis",2009,431586,14550240
"Parastichopus parvimensis",2010,307858,22039925
"Parastichopus parvimensis",2011,289440,11776560
"Parastichopus parvimensis",2012,286843,11958435
"Parastichopus parvimensis",2013,99340,2597186
"Parastichopus parvimensis",2014,125461.59,3249189.8
"Parastichopus parvimensis",2015,69233.5,1928553
"Stereolepis gigas",2005,323,3344
"Strongylocentrotus spp",2000,5205,104100
"Strongylocentrotus spp",2001,2217910,51236274
"Strongylocentrotus spp",2002,2066066,42304353
"Strongylocentrotus spp",2003,1823261,61970885
"Strongylocentrotus spp",2004,1904423,36074162
"Strongylocentrotus spp",2005,1298331,32755313
"Strongylocentrotus spp",2006,1378062.25,27363665.99
"Strongylocentrotus spp",2007,1757301.7,49024737.14
"Strongylocentrotus spp",2008,1978217,101616729
"Strongylocentrotus spp",2009,2609850,109454291
"Strongylocentrotus spp",2010,2736845,119556072
"Strongylocentrotus spp",2011,2953005,126996923
"Strongylocentrotus spp",2012,3151700,151041540
"Strongylocentrotus spp",2013,3345566,171352653
"Strongylocentrotus spp",2014,2894567.86,167166861.28
"Strongylocentrotus spp",2015,3058347.99,172491503.904
